#HF transmitted power data for 2017-07-15
#HH:MM:SS.SSS, Tx1 , Rx1  , Tx2  , Rx2  , Tx3  , Rx3  , Tx4  , Rx4  , Tx5  , Rx5  , Tx6  , Rx6  , time to take sample

00:00:00.099,000242,000000,000154,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.44525
00:00:01.085,000242,000000,000155,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.41875
00:00:02.071,000243,000000,000155,000000,000245,000000,000000,000196,000000,000123,000000,000246,0.47592
00:00:02.071,000243,000000,000155,000000,000245,000000,000000,000196,000000,000123,000000,000246,0.47592
00:00:03.056,000243,000000,000155,000000,000245,000000,000000,000195,000000,000124,000000,000247,0.44718
00:00:04.042,000243,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000248,0.45239
00:00:05.028,000243,000000,000155,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.47564
00:00:06.018,000242,000000,000154,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.46602
00:00:07.004,000243,000000,000155,000000,000246,000000,000000,000195,000000,000123,000000,000247,0.44022
00:00:07.990,000243,000000,000154,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.45453
00:00:08.976,000242,000000,000154,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.41889
00:00:09.961,000242,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000248,0.47156
00:00:10.947,000242,000000,000155,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.42748
00:00:11.933,000243,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.45062
00:00:12.918,000243,000000,000155,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.45594
00:00:13.904,000243,000000,000155,000000,000245,000000,000000,000195,000000,000123,000000,000247,0.47025
00:00:14.890,000243,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.45464
00:00:15.876,000243,000000,000155,000000,000246,000000,000000,000196,000000,000124,000000,000247,0.43884
00:00:16.861,000243,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.44317
00:00:17.847,000242,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.44629
00:00:18.833,000243,000000,000155,000000,000246,000000,000000,000195,000000,000123,000000,000248,0.44042
00:00:19.819,000243,000000,000154,000000,000246,000000,000000,000195,000000,000123,000000,000247,0.46344
00:00:20.804,000243,000000,000155,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.43922
00:00:21.790,000243,000000,000154,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.43343
00:00:22.776,000243,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.43866
00:00:23.761,000243,000000,000154,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.45301
00:00:24.747,000243,000000,000154,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.41625
00:00:25.733,000242,000000,000154,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.45045
00:00:26.719,000243,000000,000155,000000,000246,000000,000000,000196,000000,000124,000000,000247,0.43484
00:00:27.704,000242,000000,000155,000000,000246,000000,000000,000196,000000,000124,000000,000247,0.42717
00:00:28.690,000243,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.45948
00:00:29.677,000242,000000,000154,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.42955
00:00:30.662,000242,000000,000154,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.45568
00:00:31.649,000243,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.42511
00:00:32.635,000243,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.42989
00:00:33.620,000242,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.45309
00:00:34.610,000243,000000,000155,000000,000246,000000,000000,000195,000000,000123,000000,000247,0.45539
00:00:35.596,000243,000000,000154,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.43772
00:00:36.582,000243,000000,000155,000000,000246,000000,000000,000195,000000,000123,000000,000247,0.47550
00:00:37.567,000242,000000,000154,000000,000245,000000,000000,000195,000000,000123,000000,000247,0.45834
00:00:38.555,000243,000000,000155,000000,000245,000000,000000,000196,000000,000123,000000,000246,0.43788
00:00:39.541,000243,000000,000155,000000,000246,000000,000000,000195,000000,000123,000000,000247,0.46348
00:00:40.531,000243,000000,000154,000000,000246,000000,000000,000196,000000,000123,000000,000248,0.43232
00:00:41.517,000243,000000,000155,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.45643
00:00:42.503,000242,000000,000154,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.45172
00:00:43.488,000243,000000,000154,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.42609
00:00:44.477,000243,000000,000155,000000,000245,000000,000000,000196,000000,000124,000000,000247,0.46319
00:00:45.463,000243,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.43107
00:00:46.448,000242,000000,000155,000000,000245,000000,000000,000195,000000,000123,000000,000247,0.44517
00:00:47.434,000243,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.43069
00:00:48.419,000243,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.42900
00:00:49.405,000243,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.44937
00:00:50.391,000243,000000,000154,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.45260
00:00:51.376,000243,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.43810
00:00:52.362,000243,000000,000155,000000,000245,000000,000000,000196,000000,000123,000000,000247,0.47604
00:00:53.348,000243,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.44035
00:00:54.334,000242,000000,000155,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.45253
00:00:55.320,000242,000000,000154,000000,000246,000000,000000,000196,000000,000123,000000,000247,0.47456
