#HF transmitted power data for 2017-07-10
#HH:MM:SS.SSS, Tx1 , Rx1  , Tx2  , Rx2  , Tx3  , Rx3  , Tx4  , Rx4  , Tx5  , Rx5  , Tx6  , Rx6  , time to take sample

13:48:25.161,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.40725
13:48:25.663,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42968
13:48:26.166,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41727
13:48:26.166,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41727
13:48:26.668,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41130
13:48:27.170,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.43302
13:48:27.672,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42013
13:48:28.174,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42877
13:48:28.676,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41583
13:48:29.178,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42036
13:48:29.680,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.43278
13:48:30.182,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.43065
13:48:30.685,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41858
13:48:31.187,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41641
13:48:31.689,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41976
13:48:32.191,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42856
13:48:32.693,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42661
13:48:33.195,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41730
13:48:33.697,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41645
13:48:34.199,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41417
13:48:34.701,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.44217
13:48:35.203,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.43002
13:48:35.708,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42503
13:48:36.210,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41207
13:48:36.712,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41069
13:48:37.215,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41391
13:48:37.717,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42653
13:48:38.219,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41450
13:48:38.721,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.43232
13:48:39.223,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41660
13:48:39.725,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41729
13:48:40.227,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41610
13:48:40.737,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42585
13:48:41.239,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.43802
13:48:41.741,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41087
13:48:42.243,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41943
13:48:42.746,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.40732
13:48:43.248,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.39424
13:48:43.750,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42300
13:48:44.252,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41661
13:48:44.754,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.40797
13:48:45.256,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.39591
13:48:45.764,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.43760
13:48:46.266,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41199
13:48:46.769,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41365
13:48:47.271,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42296
13:48:47.773,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.46958
14:37:40.379,000391,000311,000244,000000,000392,000000,000197,000000,000393,000000,000000,000000,0.44630
14:37:40.882,000390,000310,000243,000000,000393,000000,000198,000000,000392,000000,000000,000000,0.44930
14:37:41.385,000391,000310,000243,000000,000392,000000,000198,000000,000393,000000,000000,000000,0.40705
14:37:41.888,000391,000310,000243,000000,000393,000000,000197,000000,000391,000000,000000,000000,0.42103
14:37:42.390,000391,000310,000243,000000,000392,000000,000197,000000,000394,000000,000000,000000,0.43255
14:37:42.892,000391,000309,000244,000000,000391,000000,000196,000000,000393,000000,000000,000000,0.42147
14:37:43.394,000392,000311,000244,000000,000391,000000,000198,000000,000392,000000,000000,000000,0.41937
14:37:43.896,000389,000312,000243,000000,000393,000000,000198,000000,000393,000000,000000,000000,0.40759
14:37:44.398,000391,000311,000244,000000,000392,000000,000197,000000,000395,000000,000000,000000,0.41503
14:37:44.900,000390,000311,000244,000000,000392,000000,000198,000000,000394,000000,000000,000000,0.41144
14:37:45.402,000391,000310,000243,000000,000392,000000,000197,000000,000395,000000,000000,000000,0.42999
14:37:45.908,000390,000310,000244,000000,000393,000000,000198,000000,000394,000000,000000,000000,0.40406
14:37:46.410,000390,000311,000242,000000,000392,000000,000198,000000,000395,000000,000000,000000,0.40346
14:37:46.912,000390,000311,000244,000000,000392,000000,000198,000000,000393,000000,000000,000000,0.43000
14:37:47.414,000390,000310,000245,000000,000392,000000,000197,000000,000394,000000,000000,000000,0.40839
14:37:47.916,000390,000310,000243,000000,000392,000000,000198,000000,000394,000000,000000,000000,0.41285
14:37:48.418,000389,000310,000243,000000,000391,000000,000198,000000,000394,000000,000000,000000,0.42542
14:37:48.920,000390,000310,000243,000000,000393,000000,000199,000000,000392,000000,000000,000000,0.40866
14:37:49.422,000388,000310,000244,000000,000392,000000,000198,000000,000395,000000,000000,000000,0.41199
14:37:49.924,000390,000310,000244,000000,000391,000000,000197,000000,000394,000000,000000,000000,0.41892
14:37:50.426,000389,000311,000244,000000,000393,000000,000195,000000,000392,000000,000000,000000,0.40240
14:37:50.978,000391,000312,000243,000000,000392,000000,000198,000000,000391,000000,000000,000000,0.40426
14:37:51.480,000391,000310,000243,000000,000392,000000,000198,000000,000392,000000,000000,000000,0.40803
14:37:51.983,000390,000311,000243,000000,000391,000000,000198,000000,000392,000000,000000,000000,0.43052
14:37:52.485,000391,000310,000245,000000,000391,000000,000197,000000,000396,000000,000000,000000,0.42832
14:37:52.987,000391,000309,000242,000000,000391,000000,000198,000000,000396,000000,000000,000000,0.40511
14:37:53.489,000392,000310,000243,000000,000392,000000,000200,000000,000396,000000,000000,000000,0.43435
14:37:53.991,000391,000310,000245,000000,000392,000000,000197,000000,000394,000000,000000,000000,0.43209
14:37:54.493,000391,000311,000244,000000,000393,000000,000197,000000,000393,000000,000000,000000,0.43011
14:37:54.995,000391,000310,000244,000000,000391,000000,000197,000000,000395,000000,000000,000000,0.41798
14:37:55.497,000390,000310,000242,000000,000392,000000,000199,000000,000393,000000,000000,000000,0.39505
14:37:56.002,000391,000312,000244,000000,000392,000000,000198,000000,000393,000000,000000,000000,0.42707
14:37:56.504,000391,000312,000244,000000,000393,000000,000199,000000,000393,000000,000000,000000,0.42888
14:37:57.006,000390,000310,000243,000000,000392,000000,000199,000000,000391,000000,000000,000000,0.41669
14:37:57.508,000391,000311,000243,000000,000392,000000,000200,000000,000394,000000,000000,000000,0.42465
14:37:58.011,000390,000310,000244,000000,000394,000000,000197,000000,000393,000000,000000,000000,0.41567
14:37:58.513,000391,000312,000243,000000,000392,000000,000198,000000,000392,000000,000000,000000,0.42927
14:37:59.015,000392,000310,000242,000000,000391,000000,000199,000000,000392,000000,000000,000000,0.41819
14:37:59.517,000391,000310,000244,000000,000391,000000,000196,000000,000393,000000,000000,000000,0.40618
14:38:00.019,000390,000310,000243,000000,000393,000000,000197,000000,000394,000000,000000,000000,0.41301
14:38:00.521,000390,000312,000245,000000,000393,000000,000198,000000,000395,000000,000000,000000,0.42748
14:38:01.029,000389,000311,000244,000000,000393,000000,000196,000000,000395,000000,000000,000000,0.42323
14:38:01.531,000391,000311,000245,000000,000391,000000,000196,000000,000394,000000,000000,000000,0.42202
14:38:02.033,000389,000311,000243,000000,000392,000000,000197,000000,000393,000000,000000,000000,0.44301
14:38:02.535,000392,000311,000244,000000,000392,000000,000197,000000,000395,000000,000000,000000,0.42684
14:38:03.037,000390,000309,000243,000000,000391,000000,000197,000000,000393,000000,000000,000000,0.41588
14:38:03.539,000391,000310,000244,000000,000391,000000,000199,000000,000395,000000,000000,000000,0.43371
14:38:04.041,000391,000310,000243,000000,000391,000000,000197,000000,000395,000000,000000,000000,0.41083
14:38:04.544,000390,000311,000244,000000,000393,000000,000199,000000,000392,000000,000000,000000,0.42954
14:38:05.046,000390,000311,000245,000000,000392,000000,000198,000000,000393,000000,000000,000000,0.41751
14:38:05.548,000390,000311,000244,000000,000392,000000,000198,000000,000393,000000,000000,000000,0.41531
14:38:06.055,000390,000312,000243,000000,000392,000000,000197,000000,000395,000000,000000,000000,0.42838
14:38:06.557,000391,000310,000244,000000,000393,000000,000197,000000,000393,000000,000000,000000,0.43617
14:38:07.059,000391,000311,000243,000000,000392,000000,000199,000000,000394,000000,000000,000000,0.41413
14:38:07.561,000390,000311,000244,000000,000392,000000,000197,000000,000393,000000,000000,000000,0.44200
14:38:08.063,000390,000309,000245,000000,000393,000000,000198,000000,000393,000000,000000,000000,0.42996
14:38:08.565,000391,000311,000243,000000,000393,000000,000198,000000,000394,000000,000000,000000,0.42779
14:38:09.067,000390,000310,000243,000000,000391,000000,000198,000000,000396,000000,000000,000000,0.42495
14:38:09.569,000390,000311,000243,000000,000391,000000,000198,000000,000392,000000,000000,000000,0.42374
14:38:10.071,000389,000310,000244,000000,000393,000000,000199,000000,000394,000000,000000,000000,0.42175
14:38:10.573,000390,000309,000244,000000,000391,000000,000199,000000,000396,000000,000000,000000,0.41956
14:38:11.082,000389,000310,000243,000000,000391,000000,000198,000000,000395,000000,000000,000000,0.42136
14:38:11.584,000388,000311,000244,000000,000393,000000,000196,000000,000394,000000,000000,000000,0.42290
14:38:12.086,000389,000310,000244,000000,000392,000000,000198,000000,000395,000000,000000,000000,0.39609
14:38:12.588,000390,000309,000243,000000,000391,000000,000198,000000,000393,000000,000000,000000,0.42509
14:38:13.090,000389,000310,000243,000000,000391,000000,000197,000000,000392,000000,000000,000000,0.40233
