#HF transmitted power data for 2017-06-23
#HH:MM:SS.SSS, Tx1 , Rx1  , Tx2  , Rx2  , Tx3  , Rx3  , Tx4  , Rx4  , Tx5  , Rx5  , Tx6  , Rx6  , time to take sample

18:17:00.384,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.37632
18:17:01.782,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23265
18:17:03.036,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.24446
18:17:03.036,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.24446
18:17:04.301,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23593
18:17:05.573,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.34918
18:17:06.944,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.26175
18:17:08.227,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23560
18:17:09.483,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.24803
18:17:10.754,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.26777
18:17:12.042,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22922
18:17:13.294,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.34787
18:17:14.665,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.28033
18:17:15.968,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.26684
18:17:17.256,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22989
18:17:18.507,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23096
18:17:19.759,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23152
18:17:21.025,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23690
18:17:22.285,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22979
18:17:23.536,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22582
18:17:24.783,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22940
18:17:26.040,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22556
18:17:27.288,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23015
18:17:28.539,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23365
18:17:29.793,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22372
18:17:31.048,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22882
18:17:32.298,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22550
18:17:33.544,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22505
18:17:34.790,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22686
18:17:36.045,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23828
18:17:37.304,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22504
18:17:38.550,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22522
18:17:39.796,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23673
18:17:41.061,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.21850
18:17:42.301,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22799
18:17:43.551,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.24138
18:17:44.813,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.26971
18:17:46.111,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22385
18:17:47.358,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23488
18:17:48.614,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22086
18:17:49.856,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22634
18:17:51.111,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22538
18:17:52.357,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23616
18:17:53.614,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22493
18:17:54.860,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22523
18:17:56.111,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22373
18:17:57.355,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22831
18:17:58.605,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22788
18:17:59.853,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23247
18:18:01.112,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22503
18:18:02.358,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22982
18:18:03.607,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23392
18:18:04.863,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22623
18:18:06.113,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22697
18:18:07.361,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22246
18:18:08.604,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22558
18:18:09.851,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22957
18:18:11.101,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22519
18:18:12.347,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23285
18:18:13.600,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.23166
18:18:14.853,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22043
18:18:16.094,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,1.22990
