#HF transmitted power data for 2017-06-27
#HH:MM:SS.SSS, Tx1 , Rx1  , Tx2  , Rx2  , Tx3  , Rx3  , Tx4  , Rx4  , Tx5  , Rx5  , Tx6  , Rx6  , time to take sample

09:09:44.469,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.39389
09:10:14.498,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.45581
09:10:36.943,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.45687
09:10:46.246,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.48997
09:11:15.374,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.45861
09:11:15.883,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.29292
09:11:16.392,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.33819
09:11:16.896,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.36609
09:11:27.256,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.46462
09:11:27.763,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41252
09:11:28.272,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.39521
09:11:28.781,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.39161
09:11:29.290,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.34900
09:11:29.796,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.43320
09:11:30.305,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.37836
09:11:30.815,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.39485
09:11:31.320,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.38558
09:11:31.829,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41353
09:11:33.767,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.40508
09:12:33.402,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.47694
09:12:33.911,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.37767
09:12:34.416,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.35978
09:12:34.921,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.36108
09:12:35.425,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.39323
09:12:35.933,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.36780
