#HF transmitted power data for 2017-07-14
#HH:MM:SS.SSS, Tx1 , Rx1  , Tx2  , Rx2  , Tx3  , Rx3  , Tx4  , Rx4  , Tx5  , Rx5  , Tx6  , Rx6  , time to take sample

20:45:11.476,000191,000000,012217,000000,000194,000000,000000,153957,000000,097386,000000,000196,0.61083
20:45:12.460,000192,000000,012237,000000,000193,000000,000000,153886,000000,097386,000000,000195,0.49269
20:45:13.446,000192,000000,012248,000000,000194,000000,000000,154205,000000,097498,000000,000195,0.46396
20:45:14.432,000192,000000,012217,000000,000194,000000,000000,153673,000000,097701,000000,000195,0.45467
20:45:15.417,000191,000000,012229,000000,000193,000000,000000,154099,000000,097185,000000,000196,0.46636
20:45:16.405,000191,000000,012206,000000,000193,000000,000000,153850,000000,097185,000000,000195,0.65031
20:45:17.401,000191,000000,012195,000000,000193,000000,000000,153709,000000,097498,000000,000196,0.52526
20:45:18.386,000192,000000,012203,000000,000193,000000,000000,153957,000000,097185,000000,000195,0.50519
20:45:19.376,000191,000000,012184,000000,000194,000000,000000,153567,000000,097185,000000,000196,0.61880
20:45:20.361,000192,000000,012232,000000,000194,000000,000000,153957,000000,096760,000000,000195,0.67450
20:45:21.353,000191,000000,012234,000000,000194,000000,000000,153921,000000,097611,000000,000196,0.53150
20:45:22.348,000191,000000,012173,000000,000193,000000,000000,153886,000000,097297,000000,000195,0.48519
20:45:23.340,000192,000000,012217,000000,000193,000000,000000,153497,000000,097073,000000,000196,0.47395
20:45:24.326,000191,000000,012237,000000,000193,000000,000000,153320,000000,097386,000000,000195,0.64259
20:45:25.311,000191,000000,012215,000000,000193,000000,000000,153957,000000,097073,000000,000195,0.81382
20:45:26.303,000191,000000,012260,000000,000193,000000,000000,154099,000000,097611,000000,000196,0.55307
20:45:27.288,000191,000000,012215,000000,000193,000000,000000,153709,000000,097185,000000,000196,0.52924
20:45:28.278,000192,000000,012198,000000,000194,000000,000000,154028,000000,097611,000000,000195,0.49773
20:45:29.263,000191,000000,012234,000000,000193,000000,000000,154205,000000,097386,000000,000196,0.50443
20:45:30.258,000192,000000,012217,000000,000193,000000,000000,154312,000000,097274,000000,000196,0.68225
20:45:31.255,000191,000000,012206,000000,000194,000000,000000,153850,000000,097498,000000,000196,0.62169
20:45:32.240,000191,000000,012237,000000,000193,000000,000000,153850,000000,097073,000000,000196,0.50233
20:45:33.226,000192,000000,012195,000000,000193,000000,000000,153957,000000,097185,000000,000195,0.68188
20:45:34.218,000191,000000,012243,000000,000194,000000,000000,153815,000000,097498,000000,000196,0.52470
20:45:35.203,000191,000000,012229,000000,000194,000000,000000,153992,000000,097297,000000,000195,0.51150
20:45:36.189,000191,000000,012206,000000,000194,000000,000000,154383,000000,097185,000000,000195,0.47629
20:45:37.174,000191,000000,012217,000000,000194,000000,000000,153709,000000,097611,000000,000195,0.60918
20:45:38.160,000191,000000,012217,000000,000194,000000,000000,153957,000000,097386,000000,000196,0.85680
20:45:39.155,000191,000000,012229,000000,000193,000000,000000,153603,000000,096850,000000,000195,0.88102
20:45:40.147,000191,000000,012173,000000,000193,000000,000000,153673,000000,097498,000000,000195,0.82774
20:45:41.140,000191,000000,012217,000000,000192,000000,000000,153850,000000,097073,000000,000195,1.00279
20:45:52.439,000191,000000,012217,000000,000194,000000,000000,153957,000000,097611,000000,000195,0.51520
20:45:53.424,000191,000000,012215,000000,000194,000000,000000,154099,000000,097701,000000,000195,0.44020
20:45:54.410,000192,000000,012203,000000,000193,000000,000000,154028,000000,097185,000000,000196,0.49993
20:45:55.395,000192,000000,012248,000000,000193,000000,000000,153567,000000,097498,000000,000196,0.47917
20:45:56.381,000191,000000,012203,000000,000193,000000,000000,154241,000000,097386,000000,000196,0.44943
20:45:57.367,000192,000000,012217,000000,000193,000000,000000,153603,000000,097611,000000,000196,0.44096
20:45:58.363,000191,000000,012215,000000,000193,000000,000000,153886,000000,097386,000000,000196,0.44802
20:45:59.348,000192,000000,012229,000000,000193,000000,000000,153603,000000,097611,000000,000196,0.43862
20:46:00.334,000191,000000,012215,000000,000193,000000,000000,153709,000000,097185,000000,000196,0.43629
20:46:01.320,000192,000000,012229,000000,000194,000000,000000,153709,000000,097274,000000,000196,0.46356
20:46:02.305,000192,000000,012243,000000,000194,000000,000000,153815,000000,097386,000000,000196,0.44816
20:46:03.291,000191,000000,012234,000000,000193,000000,000000,153957,000000,097498,000000,000196,0.45224
20:46:04.277,000191,000000,012248,000000,000193,000000,000000,153850,000000,097813,000000,000196,0.45635
20:46:05.263,000191,000000,012215,000000,000193,000000,000000,153850,000000,097386,000000,000195,0.50153
20:46:06.248,000191,000000,012237,000000,000194,000000,000000,153709,000000,097386,000000,000196,0.43537
20:46:07.234,000191,000000,012212,000000,000193,000000,000000,154134,000000,097274,000000,000196,0.43003
20:46:08.219,000191,000000,012226,000000,000193,000000,000000,153673,000000,097386,000000,000196,0.46435
20:46:09.205,000192,000000,012203,000000,000193,000000,000000,153603,000000,097274,000000,000196,0.48056
20:46:10.190,000192,000000,012215,000000,000194,000000,000000,153957,000000,097611,000000,000196,0.45585
20:46:11.176,000192,000000,012248,000000,000194,000000,000000,154134,000000,097611,000000,000196,0.45783
20:46:12.161,000191,000000,012260,000000,000194,000000,000000,153815,000000,097274,000000,000196,0.46392
20:46:13.147,000192,000000,012226,000000,000193,000000,000000,153815,000000,097386,000000,000195,0.47015
20:46:14.132,000192,000000,012215,000000,000193,000000,000000,153850,000000,097274,000000,000196,0.44351
20:46:15.118,000191,000000,012226,000000,000194,000000,000000,153957,000000,097073,000000,000196,0.43189
