#HF transmitted power data for 2017-06-26
#HH:MM:SS.SSS, Tx1 , Rx1  , Tx2  , Rx2  , Tx3  , Rx3  , Tx4  , Rx4  , Tx5  , Rx5  , Tx6  , Rx6  , time to take sample

14:05:43.035,      ,000826,      ,000334,      ,000167,      ,000605,      ,000648,      ,000483,0.61733
14:05:44.065,      ,000981,      ,000338,      ,000165,      ,000591,      ,000652,      ,000485,0.60755
14:05:45.102,      ,001008,      ,000342,      ,000167,      ,000587,      ,000651,      ,000477,0.60811
14:05:46.132,      ,001001,      ,000339,      ,000171,      ,000593,      ,000646,      ,000483,0.60474
14:05:47.162,      ,000864,      ,000085,      ,000170,      ,000594,      ,000648,      ,000485,0.61444
14:05:48.195,      ,000994,      ,000339,      ,000165,      ,000592,      ,000647,      ,000488,0.61093
14:05:49.234,      ,000984,      ,000082,      ,000168,      ,000590,      ,000647,      ,000478,0.61653
14:05:50.272,      ,001012,      ,000348,      ,000172,      ,000594,      ,000650,      ,000814,0.61040
14:05:51.302,      ,000826,      ,000340,      ,000168,      ,000594,      ,000649,      ,000478,0.61813
14:05:52.334,      ,001011,      ,000339,      ,000168,      ,000577,      ,000649,      ,000487,0.60956
14:05:53.365,      ,000988,      ,000342,      ,000169,      ,000599,      ,000649,      ,000492,0.61194
14:05:54.394,      ,001016,      ,000354,      ,000177,      ,000601,      ,000652,      ,000479,0.60546
14:05:55.422,      ,000900,      ,000074,      ,000167,      ,000587,      ,000651,      ,000477,0.61636
14:05:56.451,      ,000998,      ,000351,      ,000175,      ,001011,      ,000545,      ,000479,0.61982
14:05:57.481,      ,000997,      ,000352,      ,000178,      ,000598,      ,000653,      ,000471,0.60888
14:05:58.511,      ,000998,      ,000351,      ,000179,      ,000602,      ,000662,      ,000485,0.60666
14:05:59.541,      ,000816,      ,000355,      ,000178,      ,001008,      ,000655,      ,000495,0.61548
14:06:00.578,      ,000984,      ,000343,      ,000160,      ,000593,      ,000366,      ,000480,0.61978
14:06:01.607,      ,000986,      ,000351,      ,000177,      ,000600,      ,000656,      ,000486,0.60966
14:06:02.637,      ,000990,      ,000355,      ,000178,      ,000597,      ,000656,      ,000479,0.61409
14:06:03.667,      ,000836,      ,000356,      ,000172,      ,000589,      ,000655,      ,000480,0.61627
14:06:04.697,      ,000981,      ,000352,      ,000275,      ,000596,      ,000654,      ,000490,0.60897
14:06:05.739,      ,000977,      ,000349,      ,000174,      ,000587,      ,000652,      ,000475,0.61062
14:06:06.770,      ,000979,      ,000352,      ,000181,      ,000601,      ,000657,      ,000494,0.60477
14:06:07.799,      ,000815,      ,000357,      ,000181,      ,000594,      ,000653,      ,000474,0.61061
14:06:08.829,      ,000964,      ,000340,      ,000171,      ,000602,      ,000655,      ,000486,0.60441
14:06:09.861,      ,000973,      ,000353,      ,000186,      ,000603,      ,000362,      ,000785,0.61273
14:06:10.894,      ,000990,      ,000346,      ,000180,      ,000599,      ,000651,      ,000469,0.60639
14:06:11.924,      ,000955,      ,000343,      ,000187,      ,000611,      ,000662,      ,000485,0.61182
14:06:12.953,      ,000988,      ,000352,      ,000186,      ,000607,      ,000655,      ,000488,0.61174
14:06:13.983,      ,000989,      ,000350,      ,000179,      ,000600,      ,000657,      ,000469,0.60644
14:06:15.014,      ,000968,      ,000342,      ,000174,      ,000601,      ,000659,      ,000472,0.60406
14:06:16.049,      ,000785,      ,000346,      ,000178,      ,000598,      ,000662,      ,000470,0.61374
14:06:17.079,      ,000940,      ,000338,      ,000198,      ,000602,      ,000663,      ,000471,0.61225
14:06:18.110,      ,000942,      ,000338,      ,000171,      ,000599,      ,000666,      ,000472,0.60267
14:06:19.140,      ,000947,      ,000340,      ,000175,      ,000601,      ,000668,      ,000478,0.60688
14:06:20.169,      ,000844,      ,000094,      ,000171,      ,000590,      ,000664,      ,000481,0.61809
14:06:21.205,      ,000961,      ,000336,      ,000171,      ,000599,      ,000668,      ,000486,0.60925
14:06:22.237,      ,000947,      ,000345,      ,000171,      ,000602,      ,000667,      ,000475,0.61581
14:06:23.268,      ,000685,      ,000339,      ,000175,      ,000605,      ,000666,      ,000475,0.60932
14:06:24.298,      ,000793,      ,000344,      ,000179,      ,000612,      ,000662,      ,000469,0.61023
14:06:25.327,      ,000947,      ,000341,      ,000175,      ,000607,      ,000670,      ,000487,0.60749
